Club,Name,Club_Position,Club_Joining,Contract_Expiry,Nationality,National_Position,Rating,Height,Weight,Preferred_Foot,Birth_Date,Age,Preferred_Position,Weak_foot
1. FC Heidenheim,Arne Feick,LB,7/1/2015,2020.0,Germany,,69,179 cm,78 kg,Left,4/1/1988,28,LB,2
1. FC Heidenheim,Ben Halloran,Sub,7/1/2015,2018.0,Australia,,66,184 cm,77 kg,Right,6/14/1992,24,RM/LM,3
1. FC Heidenheim,Dave Gnaase,Sub,7/1/2015,2019.0,Germany,,59,179 cm,76 kg,Right,12/14/1996,20,CM,3
1. FC Heidenheim,Denis Thomalla,Sub,7/1/2016,2018.0,Germany,,67,186 cm,75 kg,Right,8/16/1992,24,ST,3
1. FC Heidenheim,Dominik Widemann,Sub,7/1/2015,2018.0,Germany,,60,179 cm,70 kg,Right,7/30/1996,20,ST,3
1. FC Heidenheim,Hauke Wahl,RCB,7/1/2016,2019.0,Germany,,69,189 cm,81 kg,Right,4/15/1994,22,CB,3
1. FC Heidenheim,Ibrahim Hajtic,Sub,10/16/2016,2017.0,Bosnia Herzegovina,,54,193 cm,83 kg,Right,4/4/1998,18,CB,3
1. FC Heidenheim,John Verhoek,LS,7/1/2016,2018.0,Netherlands,,67,187 cm,87 kg,Right,3/25/1989,28,ST,3
1. FC Heidenheim,Kevin Kraus,Sub,7/1/2014,2018.0,Germany,,71,190 cm,91 kg,Right,8/12/1992,24,CB,3
1. FC Heidenheim,Kevin Lankford,Res,3/12/2017,2019.0,Germany,,56,180 cm,75 kg,Right,11/16/1998,18,RM,3
1. FC Heidenheim,Kevin Müller,GK,7/1/2015,2018.0,Germany,,69,190 cm,91 kg,Right,3/15/1991,26,GK,3
1. FC Heidenheim,Leon Jankowski,Sub,7/1/2015,2020.0,Poland,,54,185 cm,80 kg,Right,8/30/1998,18,GK,3
1. FC Heidenheim,Marc Schnatterer,LM,7/1/2008,2020.0,Germany,,74,180 cm,75 kg,Right,11/18/1985,31,LM,4
1. FC Heidenheim,Marcel Titsch-Rivero,LDM,7/1/2012,2018.0,Germany,,68,182 cm,76 kg,Left,11/2/1989,27,CM/CDM,3
1. FC Heidenheim,Martin Rasner,Sub,7/1/2016,2018.0,Austria,,64,177 cm,72 kg,Right,5/18/1995,21,CM/RM,3
1. FC Heidenheim,Mathias Wittek,LCB,7/1/2012,2018.0,Germany,,70,193 cm,89 kg,Right,3/30/1989,28,CB,2
1. FC Heidenheim,Norman Theuerkauf,Sub,7/1/2015,2018.0,Germany,,68,183 cm,76 kg,Left,1/24/1987,30,CDM/CB,3
1. FC Heidenheim,Robert Strauß,RB,1/1/2012,2018.0,Germany,,70,175 cm,70 kg,Right,10/7/1986,30,RB,3
1. FC Heidenheim,Robin Tim Becker,Sub,7/1/2015,2018.0,Germany,,61,182 cm,72 kg,Right,1/18/1997,20,RB/LB,3
1. FC Heidenheim,Ronny Philp,Sub,8/13/2015,2019.0,Romania,,68,180 cm,77 kg,Right,1/28/1989,28,RB,3
1. FC Heidenheim,Sebastian Griesbeck,RDM,7/1/2013,2017.0,Germany,,71,189 cm,84 kg,Right,10/3/1990,26,CDM/CM,3
1. FC Heidenheim,Tim Kleindienst,RS,7/1/2015,2019.0,Germany,,68,194 cm,83 kg,Right,8/31/1995,21,ST/RM,3
1. FC Heidenheim,Tim Skarke,RM,7/1/2015,2020.0,Germany,,66,179 cm,70 kg,Right,9/7/1996,20,RM,3
1. FC Heidenheim,Timo Beermann,Res,7/1/2013,2020.0,Germany,,67,188 cm,87 kg,Left,12/10/1990,26,CB,3
1. FC Heidenheim,Vitus Eicher,Sub,1/18/2017,2018.0,Germany,,67,191 cm,84 kg,Left,11/5/1990,26,GK,2
1. FC Köln,Anthony Modeste,LS,7/1/2015,2021.0,France,,83,187 cm,84 kg,Right,4/14/1988,28,ST,3
1. FC Köln,Artjoms Rudņevs,Sub,7/1/2016,2019.0,Latvia,,73,183 cm,81 kg,Right,1/13/1988,29,ST,4
1. FC Köln,Christian Clemens,RM,1/1/2017,2021.0,Germany,,76,179 cm,80 kg,Right,8/4/1991,25,RM/LM,3
1. FC Köln,Dominic Maroh,RCB,7/1/2012,2018.0,Slovenia,,76,186 cm,85 kg,Right,3/4/1987,30,CB,2
1. FC Köln,Dominique Heintz,Sub,7/1/2015,2021.0,Germany,,77,189 cm,87 kg,Left,8/15/1993,23,CB,3
