Nationality,Name,Club,Birth_Date,Age,National_Position,Club_Position,Preferred_Position,Rating,Height,Weight,Preferred_Foot,Weak_foot
Afghanistan,Maziar Kouhyar,Walsall,9/30/1997,19,Res,Res,LM,54,180 cm,69 kg,Right,3
Afghanistan,Noor Husin,Accrington,3/3/1997,20,Sub,Sub,CM,55,177 cm,65 kg,Right,2
Albania,Agim Zeka,LOSC Lille,9/6/1998,18,Res,Res,RW,59,182 cm,72 kg,Left,2
Albania,Agon Mehmeti,Gençlerbirliği,11/20/1989,27,Sub,Sub,ST,63,184 cm,79 kg,Right,1
Albania,Albion Avdijaj,FC Vaduz,1/12/1994,23,Sub,Sub,ST/RM,55,190 cm,80 kg,Right,3
Albania,Alfred Ajdarević,Örebro SK,6/20/1998,18,Sub,Sub,LM,54,186 cm,71 kg,Left,2
Albania,Amir Abrashi,SC Freiburg,3/27/1990,27,LDM,LDM,CDM/CM,72,172 cm,71 kg,Right,3
Albania,Arlind Ajeti,Torino,9/25/1993,23,Sub,Sub,CB,68,181 cm,76 kg,Right,3
Albania,Armando Sadiku,FC Lugano,5/27/1991,25,LW,LW,ST,65,185 cm,80 kg,Right,2
Albania,Armando Vajushi,Vercelli,12/3/1991,25,Sub,Sub,RW,63,181 cm,70 kg,Right,4
Albania,Bekim Balaj,Terek Grozny,1/11/1991,26,ST,ST,ST,71,188 cm,78 kg,Right,4
Albania,Berat Djimsiti,Avellino,2/19/1993,24,LCB,LCB,CB,66,190 cm,83 kg,Right,3
Albania,Bradhec Bytyqi,Aalborg BK,1/8/1997,20,Sub,Sub,LB/LM,51,180 cm,70 kg,Left,3
Albania,Edgar Çani,Pisa,7/22/1989,27,Sub,Sub,ST,65,192 cm,90 kg,Left,3
Albania,Egli Kaja,AFC Wimbledon,7/26/1997,19,Res,Res,CAM/CM,54,177 cm,78 kg,Right,3
Albania,Elseid Hysaj,Napoli,2/2/1994,23,RB,RB,RB,79,182 cm,70 kg,Right,4
Albania,Emanuele Ndoj,Brescia,11/20/1996,20,LCM,LCM,CM,60,178 cm,70 kg,Right,2
Albania,Entonjo Elezaj,Perugia,7/14/1996,20,Sub,Sub,GK,54,195 cm,88 kg,Right,2
Albania,Ergys Kace,PAOK,7/8/1993,23,Sub,Sub,CM/CDM,72,170 cm,62 kg,Right,4
Albania,Ermir Lenjani,Stade Rennais,8/5/1989,27,Sub,Sub,LB,70,175 cm,65 kg,Left,3
Albania,Etrit Berisha,Atalanta,3/10/1989,28,GK,GK,GK,78,194 cm,92 kg,Left,2
Albania,Flo Bojaj,Newport County,4/13/1996,20,Res,Res,ST,55,183 cm,82 kg,Right,3
Albania,Frédéric Veseli,Empoli,11/20/1992,24,Res,Res,RB/LB,64,183 cm,80 kg,Right,3
Albania,Jahmir Hyka,SJ Earthquakes,3/8/1988,29,RM,RM,RM/LM,71,169 cm,62 kg,Right,3
Albania,Jürgen Gjasula,Greuther Fürth,12/5/1985,31,Sub,Sub,CM,70,186 cm,87 kg,Right,3
Albania,Keidi Bare,Atlético Madrid,8/28/1997,19,Res,Res,CAM/CM,62,174 cm,72 kg,Right,3
Albania,Ledian Memushaj,Pescara,12/17/1986,30,LCM,LCM,CM,72,174 cm,70 kg,Right,4
Albania,Leonardo Maloku,Pescara,5/18/1998,18,Res,Res,RB,55,185 cm,74 kg,Right,2
Albania,Migjen Basha,Bari,1/5/1987,30,LCM,LCM,CM/CDM,71,180 cm,72 kg,Right,3
Albania,Mërgim Mavraj,Hamburger SV,6/9/1986,30,Sub,Sub,CB,76,189 cm,84 kg,Left,3
Albania,Naser Aliji,Kaiserslautern,12/27/1993,23,LB,LB,LB/RB,69,177 cm,73 kg,Left,3
Albania,Odise Roshi,Terek Grozny,5/22/1991,25,Sub,Sub,RM/RW,65,187 cm,79 kg,Right,3
Albania,Rey Manaj,Pisa,2/24/1997,20,ST,ST,ST,67,182 cm,76 kg,Right,3
Albania,Shkëlzen Gashi,Colorado Rapids,7/15/1988,28,LM,LM,LM/CAM,75,182 cm,75 kg,Left,3
Albania,Sokol Cikalleshi,Akhisarspor,7/27/1990,26,ST,ST,ST,71,185 cm,80 kg,Right,4
Albania,Taulant Xhaka,FC Basel,3/28/1991,26,LDM,LDM,CDM/RB,72,172 cm,72 kg,Right,3
Albania,Thomas Strakosha,Lazio,3/19/1995,22,Sub,Sub,GK,68,186 cm,78 kg,Right,2
Albania,Valdet Rama,Würzburger Kickers,11/20/1987,29,Sub,Sub,LW/RW,68,182 cm,78 kg,Right,3
Albania,Vullnet Basha,UCAM Murcia,7/11/1990,26,Sub,Sub,CDM/CM,67,178 cm,72 kg,Left,3
Algeria,Adam Ounas,Giron. Bordeaux,11/11/1996,20,Sub,Sub,RW/LM,72,172 cm,65 kg,Left,4
Algeria,Adlène Guédioura,Middlesbrough,11/12/1985,31,Sub,Sub,CM/CDM,71,178 cm,81 kg,Right,4
Algeria,Ahmed Kashi,Charlton Ath,11/18/1988,28,Res,Res,CDM/CM,71,178 cm,76 kg,Right,3
Algeria,Aïssa Mandi,Real Betis,10/22/1991,25,RCB,RCB,CB/RB,77,184 cm,78 kg,Right,3
Algeria,Carl Medjani,Trabzonspor,5/15/1985,31,LCB,LCB,CB/CDM,74,184 cm,77 kg,Right,3
Algeria,Djamel Eddine Benlamri,Al Shabab,12/25/1989,27,LCB,LCB,CB/CDM,69,185 cm,83 kg,Right,2
Algeria,Djamel Mesbah,Crotone,10/9/1984,32,Sub,Sub,LB/LM,72,179 cm,74 kg,Left,3
Algeria,Essaïd Belkalem,US Orléans,1/1/1989,28,Sub,Sub,CB,74,194 cm,90 kg,Right,3
Algeria,Faouzi Ghoulam,Napoli,2/1/1991,26,LB,LB,LB,79,188 cm,80 kg,Left,4
Algeria,Farid Boulaya,SC Bastia,2/25/1993,24,Sub,Sub,CAM/CM,68,180 cm,65 kg,Right,4
Algeria,Florian Makhedjouf,Red Star FC,1/11/1991,26,RCM,RCM,CAM/CM,66,187 cm,83 kg,Left,3
Algeria,Florian Raspentino,SC Bastia,6/6/1989,27,Sub,Sub,ST/RM,70,179 cm,73 kg,Right,3
Algeria,Foued Kadir,AD Alcorcón,12/5/1983,33,Sub,Sub,RM/LM,68,180 cm,70 kg,Right,3
Algeria,Féthi Harek,Nîmes Olympique,10/21/1982,34,LCB,LCB,CB,65,175 cm,65 kg,Left,3
Algeria,Haris Belkebla,Tours FC,1/28/1994,23,LDM,LDM,CM/CDM,68,177 cm,68 kg,Right,3
Algeria,Hassan Yebda,Belenenses,5/14/1984,32,LDM,LDM,CDM/CM,71,187 cm,82 kg,Right,3
Algeria,Idir Ouali,KV Kortrijk,5/21/1988,28,LM,LM,LM/RM,68,176 cm,69 kg,Left,3
Algeria,Ishak Belfodil,Standard Liège,1/12/1992,25,RS,RS,ST/LM,75,192 cm,86 kg,Right,2
Algeria,Islam Slimani,Leicester City,6/18/1988,28,Sub,Sub,ST,82,188 cm,79 kg,Right,3
Algeria,Ismaël Bennacer,Tours FC,12/1/1997,19,Res,Res,CM/LM,62,175 cm,70 kg,Left,2
Algeria,Karim Matmour,1860 München,6/25/1985,31,Sub,Sub,RM/CAM,70,181 cm,75 kg,Right,3
Algeria,Karim Ziani,US Orléans,8/17/1982,34,CAM,CAM,LW/CAM,70,169 cm,68 kg,Right,3
Algeria,Laurent Agouazi,Cham. Niortais,3/16/1984,33,CDM,CDM,CDM,68,184 cm,75 kg,Right,3
Algeria,Medhi Jean Tahrat,Angers SCO,1/24/1990,27,Res,Res,CDM/CM,67,193 cm,84 kg,Right,2
Algeria,Mehdi Abeid,Dijon FCO,8/6/1992,24,CDM,CDM,CM/CAM,71,180 cm,79 kg,Right,3
Algeria,Mehdi Jeannin,Clermont Foot,4/20/1991,25,Sub,Sub,GK,66,187 cm,80 kg,Right,2
Algeria,Mehdi Lacen,Getafe CF,3/15/1984,33,LDM,LDM,CDM/CM,73,176 cm,70 kg,Left,3
Algeria,Mehdi Mostefa,SC Bastia,8/30/1983,33,RCM,RCM,CDM/CM,73,181 cm,82 kg,Right,3
Algeria,Mehdi Terki,Sport. Lokeren,9/27/1991,25,RDM,RDM,CM/CAM,68,185 cm,75 kg,Right,4
Algeria,Mehdi Zeffane,Stade Rennais,5/19/1992,24,Sub,Sub,RB,69,174 cm,63 kg,Right,3
Algeria,Mohamed Benyettou,Al Shabab,11/1/1989,27,ST,ST,ST,65,186 cm,86 kg,Right,3
Algeria,Nabil Bentaleb,FC Schalke 04,11/24/1994,22,RDM,RDM,CM/CDM,79,187 cm,78 kg,Left,3
Algeria,Nabil Ghilas,Gaziantepspor,4/20/1990,26,ST,ST,ST,72,183 cm,85 kg,Right,4
Algeria,Najib Ammari,Brisigonza,4/10/1992,24,Sub,Sub,CM/LW,65,178 cm,69 kg,Right,3
Algeria,Okacha Hamzaoui,Nacional,11/29/1990,26,Sub,Sub,ST,68,185 cm,76 kg,Left,2
Algeria,Rachid Aït Atmane,CD Tenerife,2/4/1993,24,Sub,Sub,CDM/CM,71,189 cm,79 kg,Right,3
Algeria,Rachid Ghezzal,Olym. Lyonnais,5/9/1992,24,RW,RW,RW,77,182 cm,65 kg,Left,3
Algeria,Ramy Bensebaini,Stade Rennais,4/16/1995,21,Sub,Sub,LB/CDM,71,186 cm,75 kg,Left,3
Algeria,Raïs M'Bolhi,Stade Rennais,4/25/1986,30,Res,Res,GK,67,190 cm,80 kg,Right,3
Algeria,Riyad Mahrez,Leicester City,2/21/1991,26,RM,RM,RM/CAM,84,179 cm,62 kg,Left,4
Algeria,Ryad Boudebouz,Montpellier HSC,2/19/1990,27,CAM,CAM,CAM/CF,80,177 cm,74 kg,Left,4
Algeria,Saphir Taïder,Bologna,2/29/1992,25,RCM,RCM,CM,75,180 cm,73 kg,Right,3
Algeria,Saïd Benrahma,GFC Ajaccio,8/10/1995,21,Sub,Sub,RM/CAM,68,172 cm,67 kg,Right,4
Algeria,Sofiane Feghouli,West Ham,12/26/1989,27,RM,RM,RW/RM,79,177 cm,75 kg,Right,3
Algeria,Sofiane Hanni,RSC Anderlecht,12/29/1990,26,CAM,CAM,LM/CAM,76,178 cm,68 kg,Right,4
Algeria,Walid Mesloub,FC Lorient,9/4/1985,31,Sub,Sub,CM/CDM,74,180 cm,69 kg,Right,3
Algeria,Yacine Brahimi,FC Porto,2/8/1990,27,LM,LM,LW,82,175 cm,66 kg,Right,3
Algeria,Yannis Tafer,FC St. Gallen,2/11/1991,26,Sub,Sub,RM/LM,68,181 cm,67 kg,Left,4
Algeria,Yassine Benzia,LOSC Lille,9/8/1994,22,CAM,CAM,CAM/RW,76,179 cm,71 kg,Right,4
Algeria,Zinedine Ferhat,Le Havre AC,3/1/1993,24,RM,RM,RM,67,180 cm,70 kg,Right,4
Angola,Ary Papel,Moreirense,3/3/1994,23,Res,Res,LM,65,185 cm,71 kg,Right,3
Angola,Bastos,Lazio,11/23/1991,25,Sub,Sub,CB,77,180 cm,77 kg,Right,3
Angola,Clinton Mata,Sp. Charleroi,11/7/1992,24,RM,RM,RB/RM,73,180 cm,72 kg,Right,3
Angola,Djalma,PAOK,5/30/1987,29,RM,RM,RM/LM,74,176 cm,75 kg,Right,3
Angola,Fredy,Excelsior,3/27/1990,27,CAM,CAM,RW/CAM,67,170 cm,68 kg,Right,3
Angola,Gelson Dala,Sporting CP,7/13/1996,20,Res,Res,CF,69,175 cm,66 kg,Right,4
Angola,Igor Vetokele,Sint-Truiden,3/23/1992,25,LS,LS,ST/LM,69,173 cm,74 kg,Right,3
Angola,Jonathan Buatu Mananga,Waasl. Beveren,9/27/1993,23,RCB,RCB,CB,68,187 cm,87 kg,Right,3
Angola,José Pierre Vunguidica,SV Sandhausen,1/3/1990,27,Res,Res,ST,65,186 cm,84 kg,Right,3
Angola,Manucho,Rayo Vallecano,3/7/1983,34,Sub,Sub,ST,70,187 cm,83 kg,Left,2
Angola,Mateus,Arouca,6/19/1984,32,RW,RW,LW/RW,73,176 cm,75 kg,Right,3
Antigua & Barbuda,Dexter Blackstock,Rotherham Utd,5/20/1986,30,Sub,Sub,ST,66,185 cm,76 kg,Left,1
Antigua & Barbuda,Josh Parker,Gillingham,12/1/1990,26,Sub,Sub,ST/RM,60,180 cm,76 kg,Right,3
Antigua & Barbuda,Mahlon Romeo,Millwall,9/19/1995,21,Sub,Sub,RB,62,178 cm,73 kg,Right,3
Antigua & Barbuda,Myles Weston,Wycombe,3/12/1988,29,LW,LW,LM/LW,62,180 cm,75 kg,Left,3
Argentina,Abel Masuero,Patronato,1/6/1988,29,Sub,Sub,RB/CB,62,185 cm,80 kg,Right,3
Argentina,Abel Peralta,Temperley,1/17/1989,28,Sub,Sub,RM,60,175 cm,75 kg,Right,3
Argentina,Adrián Arregui,Montreal Impact,8/12/1992,24,Res,Res,CDM/CM,66,176 cm,74 kg,Right,3
Argentina,Adrián Calello,Quilmes,5/14/1987,29,RCM,RCM,CM,63,178 cm,71 kg,Right,3
Argentina,Adrián Domínguez,Fl. Varela,4/11/1991,25,Res,Res,GK,59,178 cm,69 kg,Right,3
Argentina,Adrián Gabbarini,Bahía Blanca,10/10/1985,31,GK,GK,GK,67,184 cm,83 kg,Right,2
Argentina,Adrián Martínez,Fl. Varela,2/13/1992,25,Res,Res,RB/RM,65,177 cm,74 kg,Right,3
Argentina,Adrián Scifo,Junín,10/10/1987,29,RB,RB,RB,65,180 cm,73 kg,Right,3
Argentina,Adrían Bastía,Santa Fe,12/20/1978,38,Sub,Sub,CDM,67,178 cm,74 kg,Right,3
Argentina,Adrían Sporle,Banfield,7/13/1995,21,Sub,Sub,LB/LM,61,186 cm,76 kg,Left,3
Argentina,Agustín Araujo,Racing Club,6/7/1999,17,Res,Res,LM,59,160 cm,59 kg,Left,3
Argentina,Agustín Bossio,Patronato,11/15/1983,33,Sub,Sub,GK,62,186 cm,74 kg,Right,3
Argentina,Agustín Bouzat,Fl. Varela,3/28/1994,23,RS,RS,LM/ST,65,173 cm,70 kg,Left,2
Argentina,Agustín Cardozo,Tigre,5/30/1997,19,Sub,Sub,CM,58,176 cm,69 kg,Right,3
Argentina,Agustín Doffo,Villarreal CF,5/25/1995,21,Res,Res,CAM,66,179 cm,68 kg,Left,2
Argentina,Agustín Farías,CD Palestino,12/25/1987,29,RDM,RDM,CDM/CM,71,179 cm,70 kg,Right,4
Argentina,Agustín Fontana,Banfield,6/11/1996,20,Sub,Sub,ST,59,176 cm,72 kg,Right,2
Argentina,Agustín Marchesín,América,3/16/1988,29,GK,GK,GK,78,188 cm,85 kg,Right,3
Argentina,Agustín Orión,Racing Club,6/26/1981,35,GK,GK,GK,77,187 cm,85 kg,Right,4
Argentina,Agustín Pascucci,Junín,1/13/1994,23,Res,Res,CM,56,173 cm,69 kg,Right,3
Argentina,Agustín Pelletieri,Lanús,5/17/1982,34,Sub,Sub,CDM,68,173 cm,72 kg,Right,3
Argentina,Agustín Rossi,Boca Juniors,8/21/1995,21,GK,GK,GK,65,195 cm,85 kg,Right,3
Argentina,Agustín Sandona,Unión,5/1/1993,23,RCB,RCB,RB/CB,63,184 cm,78 kg,Right,3
Argentina,Agustín Vuletich,Veracruz,11/3/1991,25,Sub,Sub,ST,68,185 cm,79 kg,Right,3
Argentina,Ain Acosta Luna,Fl. Varela,9/9/1994,22,Res,Res,GK,60,190 cm,77 kg,Left,2
Argentina,Alan Aguerre,Vélez Sarsfield,8/23/1990,26,Sub,Sub,GK,69,181 cm,80 kg,Right,2
Argentina,Alan Aguirre,Junín,8/13/1993,23,Sub,Sub,RB,63,182 cm,80 kg,Right,3
Argentina,Alan Alegre,Mar del Plata,2/3/1991,26,RCB,RCB,CB,68,182 cm,80 kg,Right,3
Argentina,Alan Ezequiel Martinez,Borgocalcio,1/19/1995,22,Res,Res,GK,58,195 cm,90 kg,Right,2
Argentina,Alan Franco,Independiente,10/11/1996,20,LCB,LCB,CB,61,180 cm,77 kg,Right,2
Argentina,Alan Ruiz,Sporting CP,8/19/1993,23,LS,LS,CF/ST,77,183 cm,75 kg,Left,2
Argentina,Albano Bizzarri,Pescara,11/9/1977,39,GK,GK,GK,75,193 cm,89 kg,Right,3
Argentina,Alberto Costa,San Lorenzo,1/9/1985,32,Sub,Sub,CM,75,176 cm,75 kg,Left,2
Argentina,Aldo Araujo,CA Talleres,1/3/1992,25,Sub,Sub,RM,58,164 cm,60 kg,Right,3
Argentina,Alejandro Almada,Patronato,1/5/1990,27,Res,Res,LM,61,175 cm,70 kg,Left,3
Argentina,Alejandro Camargo,Uni. Concepción,6/12/1989,27,LCM,LCM,CDM/CM,71,175 cm,68 kg,Right,3
Argentina,Alejandro Delfino,CD Antofagasta,9/18/1989,27,Sub,Sub,CB,67,182 cm,77 kg,Right,2
Argentina,Alejandro Domínguez,Olympiakos CFP,6/10/1981,35,Sub,Sub,CAM/CM,76,175 cm,73 kg,Right,4
Argentina,Alejandro Faurlín,Getafe CF,8/9/1986,30,RDM,RDM,CDM/CM,72,185 cm,76 kg,Left,2
Argentina,Alejandro Fiorina,San Luis,3/11/1988,29,Sub,Sub,ST,63,191 cm,89 kg,Right,3
Argentina,Alejandro Gagliardi,Patronato,8/6/1989,27,Sub,Sub,RM/ST,63,177 cm,82 kg,Right,3
Argentina,Alejandro Gómez,Atalanta,2/15/1988,29,LS,LS,LW/CF,82,165 cm,68 kg,Right,4
Argentina,Alejandro Romero Gamarra,Parque Patricios,1/11/1995,22,Sub,Sub,LM/CAM,69,171 cm,67 kg,Left,2
