Rating_Group,Rating,Name,Birth_Date,Age,Age_Group,Nationality,Club,Position,Contract_Expiry,Preferred_Position,Height,Weight,Preferred_Foot,Weak_foot
>89,94,Cristiano Ronaldo,2/5/1985,32,Old,Portugal,Real Madrid,Attacker,2021.0,LW/ST,185 cm,80 kg,Right,4
>89,93,Lionel Messi,6/24/1987,29,Normal,Argentina,FC Barcelona,Attacker,2018.0,RW,170 cm,72 kg,Left,4
>89,92,Neymar,2/5/1992,25,Normal,Brazil,FC Barcelona,Attacker,2021.0,LW,174 cm,68 kg,Right,5
>89,92,Luis Suárez,1/24/1987,30,Normal,Uruguay,FC Barcelona,Attacker,2021.0,ST,182 cm,85 kg,Right,4
>89,92,Manuel Neuer,3/27/1986,31,Normal,Germany,FC Bayern,Goalkeeper,2021.0,GK,193 cm,92 kg,Right,4
>89,90,De Gea,11/7/1990,26,Normal,Spain,Manchester Utd,Goalkeeper,2019.0,GK,193 cm,82 kg,Right,3
>89,90,Robert Lewandowski,8/21/1988,28,Normal,Poland,FC Bayern,Attacker,2021.0,ST,185 cm,79 kg,Right,4
>89,90,Gareth Bale,7/16/1989,27,Normal,Wales,Real Madrid,Attacker,2022.0,RW,183 cm,74 kg,Left,3
>89,90,Zlatan Ibrahimović,10/3/1981,35,Old,Sweden,Manchester Utd,Attacker,2017.0,ST,195 cm,95 kg,Right,4
80-89,89,Thibaut Courtois,5/11/1992,24,Youngster,Belgium,Chelsea,Goalkeeper,2019.0,GK,199 cm,91 kg,Left,3
80-89,89,Jérôme Boateng,9/3/1988,28,Normal,Germany,FC Bayern,Defender,2021.0,CB,192 cm,90 kg,Right,4
80-89,89,Eden Hazard,1/7/1991,26,Normal,Belgium,Chelsea,Attacker,2020.0,LW/LM,173 cm,74 kg,Right,4
80-89,89,Luka Modrić,9/9/1985,31,Old,Croatia,Real Madrid,Midfielder,2020.0,CM/CDM,174 cm,65 kg,Right,4
80-89,89,Mesut Özil,10/15/1988,28,Normal,Germany,Arsenal,Midfielder,2018.0,CAM/LW,180 cm,76 kg,Left,2
80-89,89,Gonzalo Higuaín,12/10/1987,29,Normal,Argentina,Juventus,Attacker,2021.0,ST,184 cm,92 kg,Right,4
80-89,89,Thiago Silva,9/22/1984,32,Old,Brazil,PSG,Defender,2020.0,CB,183 cm,79 kg,Right,3
80-89,89,Sergio Ramos,3/30/1986,31,Old,Spain,Real Madrid,Defender,2020.0,CB,183 cm,75 kg,Right,3
80-89,89,Sergio Agüero,6/2/1988,28,Normal,Argentina,Manchester City,Attacker,2020.0,ST,173 cm,70 kg,Right,4
80-89,88,Paul Pogba,3/15/1993,24,Youngster,France,Manchester Utd,Midfielder,2021.0,CM/CAM,191 cm,84 kg,Right,4
